asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth,category_name,price_capped,reviews_capped
B06XCWWLXQ,"Colorfullife Filters for Shark Vacuum Navigator Lift-away ZU503AMZ, NV350, NV351, NV352, NV355, NV356E, NV357, NV360, NV370, NV391, UV440, UV490, UV500, UV540, UV541, UV550, Part XFF350 XHF350, ( Not Fit ZU561, ZU560 Series)",https://m.media-amazon.com/images/I/61Asnaf3FoL._AC_UL320_.jpg,https://www.amazon.com/dp/B06XCWWLXQ,4.7,0,18.99,0.0,215,True,0,Tools & Home Improvement,18.99,0.0
B0BN3Q1C45,"Magical Wizard Party Supplies – Happy Birthday Banner Felt Garland Party Decoration, Black",https://m.media-amazon.com/images/I/61Dast3vm1L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BN3Q1C45,4.4,17,10.99,0.0,216,False,50,Kids' Party Supplies,10.99,17.0
B0CBKLWDC6,"YYNGJCK 1 Pc 180 ml/6 Oz Empty Glass Dispenser Bottle for Nail Polish - Reusable Thick Glass Press Container Refillable Pump Push Down Dispenser, with Metal Core and Dust Cover",https://m.media-amazon.com/images/I/81Cotx-yYfL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CBKLWDC6,5.0,1,7.99,0.0,51,False,50,"Foot, Hand & Nail Care Products",7.99,1.0
B00VX1K6F4,"Solo Thompson 15.6-Inch Briefcase with Padded Laptop Compartment, Brown",https://m.media-amazon.com/images/I/81ZOsXdYTRL._AC_UL320_.jpg,https://www.amazon.com/dp/B00VX1K6F4,4.1,0,180.0,0.0,109,False,0,Laptop Bags,180.0,0.0
B0BDBHFKVT,Fully Iced Out Cubic Zirconia Over Sized Hip Hop Men's Bling Bling Watches,https://m.media-amazon.com/images/I/91rmt1HVcHL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BDBHFKVT,4.5,0,19.99,0.0,113,False,0,Men's Watches,19.99,0.0
B089GHZ1T4,TOP BRIGHT Montessori Toddler Fishing Game - Kids Wooden Magnetic Fishing Toys Gifts for 3 Years Old Girls Boys,https://m.media-amazon.com/images/I/616bgOfNNQL._AC_UL320_.jpg,https://www.amazon.com/dp/B089GHZ1T4,4.7,0,19.99,0.0,224,False,200,Learning & Education Toys,19.99,0.0
B0C2GWD4CR,"90/180 Degree Barn Door Lock, Small Flip Gate Latches Hardware, Door Security Sliding Door Latch Lock fo Cabinets, Barn Door, Bathroom, Gardenr Doors (Black-1Pc)",https://m.media-amazon.com/images/I/712efMMbY8L._AC_UL320_.jpg,https://www.amazon.com/dp/B0C2GWD4CR,4.6,19,13.98,0.0,211,False,0,Hardware,13.98,19.0
B00FGYMFS0,uxcell Silver Tone Aluminum Alloy 100 Teeth 8mm Pilot Bore Screwed Timing Pulley,https://m.media-amazon.com/images/I/613y-IAkNUL._AC_UL320_.jpg,https://www.amazon.com/dp/B00FGYMFS0,4.1,0,16.49,19.65,139,False,0,Power Transmission Products,16.49,0.0
B0BBY11FGY,Giro Scamp Cycling Helmet - Youth,https://m.media-amazon.com/images/I/61kETZhBfCL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BBY11FGY,4.8,0,54.95,0.0,231,False,50,"Tricycles, Scooters & Wagons",54.95,0.0
B07B4RSL93,KIDSUN Unisex Baby Boys Girls High Top Sneaker Soft Anti-Slip Sole Newborn Infant First Walkers Canvas Denim Shoes,https://m.media-amazon.com/images/I/71Qaj-2bqwL._AC_UL320_.jpg,https://www.amazon.com/dp/B07B4RSL93,4.6,0,11.99,0.0,42,False,100,Baby,11.99,0.0
B089YVPGR6,"Garmin Instinct Solar, Rugged Outdoor Smartwatch with Solar Charging Capabilities, Built-in Sports Apps and Health Monitoring, Sunburst Yellow",https://m.media-amazon.com/images/I/71QZ2uROTiL._AC_UL320_.jpg,https://www.amazon.com/dp/B089YVPGR6,4.5,0,249.99,349.99,70,False,0,GPS & Navigation,249.99,0.0
B0B21YMNQX,"Squishy Monkey Toy,Tiktok Trending Stretchy Monkey Toy,Stress Relief & Decompression Toys,Squeeze Stress Monkey for Kids & Adults, Autism Relief,Gift idea(Brown)",https://m.media-amazon.com/images/I/51EwhA6knKL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B21YMNQX,3.5,0,18.49,21.67,218,False,50,Novelty Toys & Amusements,18.49,0.0
B07HBSGPQ3,"Sage Green Minky Bubble Dimple Dot Plush Fur Fabric Polyester 58-60""",https://m.media-amazon.com/images/I/717FUgQI9+L._AC_UL320_.jpg,https://www.amazon.com/dp/B07HBSGPQ3,4.2,0,10.0,0.0,7,False,0,Craft & Hobby Fabric,10.0,0.0
B08R1R2CM4,Baluue 12pcs Clear Acrylic Display Case Countertop Box Cube Transparent Display Box Pop Figures Display Collectibles Stone Mineral Specimen,https://m.media-amazon.com/images/I/511qMBxKs-L._AC_UL320_.jpg,https://www.amazon.com/dp/B08R1R2CM4,3.4,0,9.19,10.4,155,False,0,Science Education Supplies,9.19,0.0
B0787H1GC1,"Defense Soap Baby Body Wash Moisturizer & Shampoo with Citrus, Tea Tree, Eucalyptus, Jojoba, Aloe Vera, Olive & Coconut Oils (Pack of 2)",https://m.media-amazon.com/images/I/71R95KU09VL._AC_UL320_.jpg,https://www.amazon.com/dp/B0787H1GC1,4.3,0,28.99,0.0,129,False,0,Baby & Child Care Products,28.99,0.0
B0BG27XPK7,"Cartoon Charm for Women Bracelets Alloy for Women's Bracelets Necklaces,Happy Birthday Mother's Day Jewelry Women Girls Gifts",https://m.media-amazon.com/images/I/5186dHrts0L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BG27XPK7,4.3,57,16.99,0.0,95,False,0,Girls' Jewelry,16.99,57.0
B0855GTCRT,Rubber Band Toy Mini Outdoor Activities Brain Teaser for Adults and Kids,https://m.media-amazon.com/images/I/819XwyxTzuL._AC_UL320_.jpg,https://www.amazon.com/dp/B0855GTCRT,4.1,0,7.99,0.0,227,False,0,Puzzles,7.99,0.0
B07CX4TPG2,"EnerTwist Drill Bit Set, 246-Pieces Drill Bits and Driver Set for Wood Metal Cement Drilling and Screw Driving, Full Combo Kit Assorted in Plastic Carrying Case, ET-DBA-246",https://m.media-amazon.com/images/I/81TXpYHd-0L._AC_UL320_.jpg,https://www.amazon.com/dp/B07CX4TPG2,4.5,0,26.99,0.0,207,False,600,Power Tools & Hand Tools,26.99,0.0
B0C89X9RCK,"Upgraded Stainless Steel Band Compatible with Apple Watch Band 45mm 44mm 42mm 49mm Men, Luxury Metal iWatch Band with Butterfly Folding Clasp for Apple Watch Ultra 2/ Ultra Series 9/8/7/6/5/4/3/2/1/SE",https://m.media-amazon.com/images/I/71v-PEwLjBL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C89X9RCK,4.7,13,18.99,0.0,68,False,0,Wearable Technology,18.99,13.0
B07YWD7SCP,Bucket Hat for Women Psychedelic Trippy Summer Beach Sun Hat Travel Fisherman Cap,https://m.media-amazon.com/images/I/51d5wqvtk4L._AC_UL320_.jpg,https://www.amazon.com/dp/B07YWD7SCP,4.4,0,13.99,0.0,120,False,50,Women's Accessories,13.99,0.0
B013E1J33Q,MAC Studio Finish SP35 Concealer NW25,https://m.media-amazon.com/images/I/61pxWstw6YL._AC_UL320_.jpg,https://www.amazon.com/dp/B013E1J33Q,4.5,0,24.94,28.0,48,False,100,Makeup,24.94,0.0
